iter	Passed	Remaining
0	4	2255
1	8	2178
2	12	2066
3	15	1933
4	19	1883
5	23	1948
6	26	1889
7	30	1853
8	33	1806
9	36	1781
10	44	1982
11	47	1951
12	51	1913
13	54	1897
14	63	2061
15	67	2027
16	70	2012
17	76	2045
18	79	2015
19	82	1984
20	86	1976
21	90	1969
22	93	1936
23	97	1926
24	100	1906
25	103	1888
26	106	1871
27	109	1839
28	112	1825
29	115	1805
30	118	1792
31	123	1800
32	127	1801
33	130	1790
34	133	1777
35	138	1785
36	142	1782
37	145	1770
38	149	1762
39	159	1836
40	162	1822
41	165	1809
42	169	1799
43	173	1792
44	176	1781
45	179	1774
46	183	1764
47	186	1760
48	190	1750
49	193	1739
50	196	1733
51	200	1723
52	204	1728
53	208	1723
54	212	1715
55	215	1706
56	219	1702
57	224	1707
58	227	1698
59	230	1690
60	235	1696
61	238	1688
62	243	1686
63	246	1678
64	249	1670
65	259	1708
66	263	1701
67	266	1693
68	270	1689
69	274	1683
70	277	1675
71	280	1667
72	284	1666
73	288	1660
74	291	1652
75	294	1645
76	298	1637
77	301	1632
78	304	1624
79	305	1604
80	308	1596
81	311	1589
82	312	1570
83	316	1564
84	319	1558
85	322	1550
86	325	1546
87	328	1539
88	331	1533
89	336	1533
90	339	1526
91	342	1520
92	345	1513
93	354	1529
94	357	1523
95	360	1517
96	363	1510
97	367	1506
98	370	1501
99	373	1495
100	377	1489
101	380	1484
102	386	1491
103	390	1485
104	393	1480
105	397	1478
106	402	1476
107	405	1470
108	408	1464
109	411	1458
110	416	1458
111	416	1442
112	419	1437
113	422	1431
114	425	1425
115	429	1423
116	433	1419
117	436	1413
118	440	1409
119	443	1404
120	448	1404
121	454	1407
122	457	1402
123	460	1396
124	464	1392
125	468	1389
126	471	1384
127	474	1378
128	477	1372
129	481	1370
130	486	1369
131	490	1366
132	493	1362
133	497	1357
134	501	1355
135	504	1349
136	507	1344
137	510	1338
138	516	1341
139	520	1337
140	523	1332
141	526	1328
142	535	1336
143	538	1331
144	541	1325
145	550	1335
146	553	1329
147	555	1322
148	558	1315
149	562	1312
150	565	1306
151	567	1300
152	570	1294
153	573	1288
154	576	1284
155	579	1278
156	582	1272
157	585	1266
158	587	1259
159	589	1252
160	593	1249
161	596	1244
162	599	1239
163	601	1232
164	604	1226
165	606	1221
166	610	1217
167	612	1210
168	615	1204
169	617	1199
170	620	1193
171	622	1187
172	626	1185
173	629	1178
174	631	1172
175	632	1164
176	635	1159
177	637	1153
178	641	1149
179	644	1145
180	645	1138
181	648	1133
182	650	1127
183	653	1123
184	657	1118
185	660	1114
186	662	1108
187	665	1103
188	665	1095
189	668	1090
190	671	1086
191	672	1078
192	675	1074
193	676	1066
194	678	1060
195	680	1056
196	682	1050
197	685	1044
198	688	1040
199	691	1036
200	693	1032
201	696	1027
202	698	1022
203	701	1017
204	703	1013
205	707	1009
206	709	1004
207	712	999
208	714	994
209	717	990
210	719	986
211	723	982
212	725	977
213	728	972
214	730	968
215	731	961
216	733	956
217	736	952
218	743	954
219	746	949
220	747	943
221	749	938
222	751	934
223	755	931
224	758	927
225	761	922
226	763	917
227	766	914
228	770	911
229	772	906
230	774	902
231	777	897
232	779	893
233	781	888
234	784	884
235	787	881
236	790	876
237	792	872
238	795	868
239	797	864
240	800	860
241	804	857
242	806	852
243	808	848
244	811	844
245	813	839
246	815	835
247	819	832
248	821	828
249	824	824
250	827	820
251	829	816
252	832	812
253	836	810
254	839	806
255	844	804
256	847	800
257	850	797
258	853	794
259	856	790
260	859	786
261	862	783
262	864	779
263	868	776
264	871	772
265	873	768
266	876	764
267	878	760
268	880	756
269	883	753
270	886	749
271	889	745
272	892	741
273	894	738
274	897	734
275	901	731
276	903	727
277	905	723
278	907	719
279	910	715
280	913	711
281	917	708
282	919	705
283	922	701
284	924	697
285	927	694
286	931	691
287	934	687
288	937	684
289	940	680
290	942	676
291	945	673
292	949	670
293	952	667
294	954	663
295	956	659
296	958	655
297	961	651
298	964	648
299	967	644
300	969	641
301	972	637
302	974	633
303	977	630
304	982	628
305	984	624
306	987	620
307	990	617
308	991	612
309	994	609
310	997	606
311	1000	602
312	1002	598
313	1004	595
314	1007	591
315	1010	588
316	1012	584
317	1015	581
318	1018	577
319	1020	574
320	1023	570
321	1026	567
322	1030	564
323	1033	561
324	1035	557
325	1037	553
326	1039	550
327	1042	546
328	1046	543
329	1048	540
330	1051	536
331	1054	533
332	1056	529
333	1057	525
334	1061	522
335	1062	518
336	1064	515
337	1066	511
338	1068	507
339	1070	503
340	1071	499
341	1072	495
342	1075	492
343	1077	488
344	1079	484
345	1080	481
346	1082	477
347	1084	473
348	1085	469
349	1087	466
350	1089	462
351	1092	459
352	1094	455
353	1096	452
354	1097	448
355	1099	444
356	1101	441
357	1103	437
358	1105	434
359	1107	430
360	1109	427
361	1112	423
362	1113	420
363	1115	416
364	1117	413
365	1119	409
366	1120	406
367	1124	403
368	1127	400
369	1129	396
370	1131	393
371	1133	390
372	1135	386
373	1139	383
374	1141	380
375	1143	376
376	1144	373
377	1145	369
378	1147	366
379	1149	362
380	1150	359
381	1151	355
382	1154	352
383	1155	349
384	1157	345
385	1158	342
386	1159	338
387	1161	335
388	1162	331
389	1164	328
390	1165	324
391	1166	321
392	1168	318
393	1170	314
394	1172	311
395	1173	308
396	1175	304
397	1176	301
398	1178	298
399	1179	294
400	1180	291
401	1182	288
402	1183	284
403	1184	281
404	1294	303
405	1296	300
406	1298	296
407	1300	293
408	1327	295
409	1329	291
410	1330	288
411	1332	284
412	1378	290
413	1380	286
414	1381	283
415	1383	279
416	1385	275
417	1386	272
418	1388	268
419	1389	264
420	1391	261
421	1392	257
422	1393	253
423	1395	250
424	1396	246
425	1397	242
426	1399	239
427	1401	235
428	1404	232
429	1406	228
430	1408	225
431	1409	221
432	1411	218
433	1412	214
434	1414	211
435	1417	208
436	1418	204
437	1420	201
438	1421	197
439	1423	194
440	1424	190
441	1425	187
442	1427	183
443	1429	180
444	1430	176
445	1432	173
446	1434	170
447	1437	166
448	1438	163
449	1440	160
450	1441	156
451	1442	153
452	1444	149
453	1447	146
454	1451	143
455	1452	140
456	1454	136
457	1455	133
458	1456	130
459	1458	126
460	1459	123
461	1460	120
462	1462	116
463	1464	113
464	1466	110
465	1467	107
466	1469	103
467	1471	100
468	1472	97
469	1475	94
470	1477	90
471	1478	87
472	1480	84
473	1482	81
474	1483	78
475	1484	74
476	1485	71
477	1487	68
478	1488	65
479	1489	62
480	1491	58
481	1492	55
482	1494	52
483	1496	49
484	1497	46
485	1499	43
486	1500	40
487	1502	36
488	1503	33
489	1505	30
490	1506	27
491	1508	24
492	1509	21
493	1511	18
494	1513	15
495	1514	12
496	1515	9
497	1516	6
498	1518	3
499	1519	0
478	1966	86
479	1968	82
480	1970	77
481	1972	73
482	1974	69
483	1976	65
484	1978	61
485	1980	57
486	1982	52
487	1983	48
488	1985	44
489	1988	40
490	1990	36
491	1992	32
492	1994	28
493	1995	24
494	1997	20
495	1999	16
496	2001	12
497	2004	8
498	2007	4
499	2010	0
4
499	2150	0
